InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,01.12.2010,3,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,01.12.2010,2,13047,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,3,01.12.2010,6,13047,United Kingdom
536368,22914,BLUE COAT RACK PARIS FASHION,3,01.12.2010,5,13047,United Kingdom
536373,84406B,CREAM CUPID HEARTS COAT HANGER,8,01.12.2010,3,17850,United Kingdom
536375,82494L,WOODEN FRAME ANTIQUE WHITE ,6,01.12.2010,3,17850,United Kingdom
536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,01.12.2010,3,14688,United Kingdom
536381,82567,"AIRLINE LOUNGE,METAL SIGN",2,01.12.2010,2,15311,United Kingdom
536381,21169,YOU'RE CONFUSING ME METAL SIGN ,3,01.12.2010,2,15311,United Kingdom
536381,21175,GIN + TONIC DIET METAL SIGN,2,01.12.2010,2,15311,United Kingdom
536381,37444A,YELLOW BREAKFAST CUP AND SAUCER,1,01.12.2010,3,15311,United Kingdom
536381,22261,FELT EGG COSY WHITE RABBIT ,1,01.12.2010,1,15311,United Kingdom
536381,21557,SET OF 6 FUNKY BEAKERS,2,01.12.2010,3,15311,United Kingdom
536381,15056BL,EDWARDIAN PARASOL BLACK,2,01.12.2010,6,15311,United Kingdom
536381,22176,BLUE OWL SOFT TOY,1,01.12.2010,3,15311,United Kingdom
536381,21731,RED TOADSTOOL LED NIGHT LIGHT,2,01.12.2010,2,15311,United Kingdom
536382,22379,RECYCLING BAG RETROSPOT ,10,01.12.2010,2,16098,United Kingdom
536382,22726,ALARM CLOCK BAKELIKE GREEN,4,01.12.2010,4,16098,United Kingdom
536382,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,01.12.2010,17,16098,United Kingdom
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,01.12.2010,5,15311,United Kingdom
536384,22428,ENAMEL FIRE BUCKET CREAM,6,01.12.2010,7,18074,United Kingdom
536385,22662,LUNCH BAG DOLLY GIRL DESIGN,10,01.12.2010,2,17420,United Kingdom
